Name,Age,PhoneNumber,Email,Salary,Department,CountryCode
Allen,22,433 447-7961,-Allen@vodafone.com.eg,800,IT,4
Ward,25,724-995-7762,Ward_ward@vodafone.com.eg,1600,Technology,4
Jones,24,987-123-4563,Jones*1@vodafone.com.eg,1250,Technology,4
Blake,30,433-447-7964,Blake+30@vodafone.com.eg,2975,IT,4
Clark,28,1234567895,Clark.123@vodafone.com.eg,2850,IT,4
Scott,28,123-456-7896,Scott@vodafone-2.com.eg,2450,Technology,4
King,26,724-995-7767,King@vodafone.com.eg,3000,Technology,4
Turner,35,433-447-7968,35Turner@vodafone.com.eg,5000,IT,4
Adams,24,987 123 4569,Adams@vodafone.com.en.eg,1500,Technology,4
James,22,123-456 (7810),James@vodafone.com.eg,1100,Technology,4
Miller,23,142-156-7820,Miller-142@vodafone.com.eg,950,Technology,4
Ford,24,(724)-995-7339,Ford@vodafone.com.eg,1300,IT,4
Martin,31,387-123-2561,Martin@vodafone.com..eg,3000,IT,4
Smith,33,756-295-7722,Smith33@vodafone.com.eg,5000,Technology,4
